100, 201, 999
200, 202, 998
300, 203, 997
400, 203, 997
500, 204, 996
600, 205, 995
700, 205, 995
800, 205, 995
900, 205, 995
1000, 207, 993
1100, 207, 993
1200, 208, 992
1300, 210, 990
1400, 210, 990
1500, 210, 990
1600, 212, 988
1700, 215, 985
1800, 215, 985
1900, 215, 985
2000, 215, 985
2100, 216, 984
2200, 216, 984
2300, 217, 983
2400, 219, 981
2500, 219, 981
2600, 219, 981
2700, 222, 978
2800, 222, 978
2900, 222, 978
3000, 222, 978
3100, 223, 977
3200, 223, 977
3300, 223, 977
3400, 223, 977
3500, 223, 977
3600, 224, 976
3700, 225, 975
3800, 225, 975
3900, 225, 975
4000, 225, 975
4100, 225, 975
4200, 225, 975
4300, 226, 974
4400, 226, 974
4500, 227, 973
4600, 227, 973
4700, 228, 972
4800, 229, 971
4900, 229, 971
5000, 230, 970
5100, 230, 970
5200, 230, 970
5300, 230, 970
5400, 230, 970
5500, 230, 970
5600, 230, 970
5700, 230, 970
5800, 231, 969
5900, 232, 968
6000, 232, 968
6100, 232, 968
6200, 232, 968
6300, 232, 968
6400, 232, 968
6500, 233, 967
6600, 233, 967
6700, 233, 967
6800, 233, 967
6900, 233, 967
7000, 233, 967
7100, 233, 967
7200, 233, 967
7300, 233, 967
7400, 233, 967
7500, 233, 967
7600, 233, 967
7700, 232, 967
7800, 232, 967
7900, 232, 967
8000, 232, 967
8100, 232, 967
8200, 232, 967
8300, 232, 967
8400, 235, 964
8500, 235, 964
8600, 235, 964
8700, 236, 963
8800, 236, 963
8900, 236, 963
9000, 236, 963
9100, 236, 963
9200, 236, 963
9300, 236, 963
9400, 236, 963
9500, 236, 963
9600, 236, 963
9700, 236, 963
9800, 236, 963
9900, 236, 963
10000, 236, 963
10100, 236, 963
10200, 236, 963
10300, 236, 963
10400, 236, 963
10500, 236, 963
10600, 237, 962
10700, 239, 960
10800, 239, 960
10900, 239, 960
11000, 239, 960
11100, 239, 960
11200, 239, 960
11300, 239, 960
11400, 239, 960
11500, 239, 960
11600, 239, 960
11700, 239, 960
11800, 239, 960
11900, 239, 960
12000, 239, 960
12100, 239, 960
12200, 239, 960
12300, 239, 960
12400, 239, 960
12500, 239, 960
12600, 239, 960
12700, 239, 960
12800, 239, 960
12900, 240, 959
13000, 240, 959
13100, 240, 959
13200, 240, 959
13300, 240, 959
13400, 240, 959
13500, 240, 959
13600, 240, 959
13700, 242, 957
13800, 243, 956
13900, 244, 955
14000, 244, 955
14100, 244, 955
14200, 246, 953
14300, 246, 953
14400, 246, 953
14500, 246, 953
14600, 246, 953
14700, 246, 953
14800, 246, 953
14900, 246, 953
